availability,location,total_sqft,bath,balcony,price,size_filled,price_per_sqft
Ready To Move,Vijaya Bank Layout,2400.0,2.0,1.0,150.0,3 BHK,6250.0
Ready To Move,Hosur Road,460.0,1.0,1.0,21.0,1 BHK,4565.217391304348
Ready To Move,Narayanappa Layout,950.0,5.0,2.0,90.0,5 BHK,9473.684210526315
Ready To Move,Whitefield,1285.0,2.0,2.0,55.9,2 BHK,4350.194552529183
Ready To Move,Sarjapur,1200.0,3.0,2.0,78.0,3 BHK,6500.0
Ready To Move,Raghuvanahalli,1070.0,2.0,1.0,35.0,2 BHK,3271.0280373831774
Ready To Move,Hegde Nagar,1801.0,3.0,2.0,140.0,3 BHK,7773.459189339256
Not Ready To Move,Whitefield,1697.0,3.0,2.0,115.0,3 BHK,6776.664702416028
Ready To Move,AECS Layout,1199.0,2.0,2.0,65.0,2 BHK,5421.184320266889
Ready To Move,Iblur Village,2300.0,3.0,1.0,220.0,3 BHK,9565.217391304348
Ready To Move,Mysore Road,1340.0,2.0,3.0,64.31,3 BHK,4799.253731343284
Ready To Move,Marathahalli,3800.0,4.0,3.0,205.0,4 BHK,5394.736842105263
Ready To Move,Jigani,600.0,5.0,2.0,50.0,5 BHK,8333.333333333334
Ready To Move,Wilson Garden,1125.0,2.0,1.0,75.0,2 BHK,6666.666666666667
Ready To Move,Anandapura,1200.0,2.0,1.0,67.0,2 BHK,5583.333333333333
Ready To Move,Subramanyapura,1050.0,2.0,3.0,41.0,2 BHK,3904.7619047619046
Ready To Move,Nagarbhavi,956.0,2.0,1.0,49.0,2 BHK,5125.523012552301
Ready To Move,Sarjapur,1000.0,2.0,2.0,30.0,2 BHK,3000.0
Ready To Move,Dooravani Nagar,1596.0,3.0,0.0,95.0,3 BHK,5952.380952380952
Not Ready To Move,Kanakpura Road,1296.0,2.0,3.0,89.06,2 BHK,6871.913580246914
Ready To Move,Challaghatta,1639.0,3.0,3.0,123.0,3 BHK,7504.5759609518
Ready To Move,Electronic City Phase II,1219.0,2.0,1.0,61.25,2 BHK,5024.610336341263
Ready To Move,Uttarahalli,1200.0,3.0,1.0,50.0,3 BHK,4166.666666666667
Ready To Move,Bannerghatta Road,1218.0,2.0,1.0,73.0,2 BHK,5993.431855500821
Ready To Move,Nyanappana Halli,920.0,2.0,3.0,37.0,2 BHK,4021.7391304347825
Ready To Move,Yeshwanthpur,2559.0,3.0,2.0,141.0,3 BHK,5509.964830011723
Not Ready To Move,2nd Phase Judicial Layout,525.0,1.0,1.0,26.0,1 BHK,4952.380952380952
Not Ready To Move,Bannerghatta Road,1427.0,2.0,2.0,48.51,3 BHK,3399.4393833216536
Not Ready To Move,Kothannur,1270.0,3.0,2.0,45.0,3 BHK,3543.3070866141734
Ready To Move,Ramagondanahalli,920.0,2.0,3.0,65.0,2 BHK,7065.217391304348
Ready To Move,Dommasandra,2700.0,3.0,2.0,68.0,4 BHK,2518.5185185185187
Ready To Move,Indira Nagar 3rd Stage,1740.0,3.0,2.0,199.0,3 BHK,11436.781609195403
Ready To Move,Ramamurthy Nagar,1355.0,2.0,2.0,40.0,3 BHK,2952.029520295203
Ready To Move,Lingadheeranahalli,1530.0,2.0,2.0,90.0,3 BHK,5882.35294117647
Ready To Move,Gokula Extension,1372.0,2.0,1.0,90.0,3 BHK,6559.766763848396
Ready To Move,Nehru Nagar,2363.0,5.0,2.0,120.0,4 BHK,5078.290308929327
Ready To Move,Marathahalli,3895.0,4.0,3.0,220.0,4 BHK,5648.267008985879
Not Ready To Move,Jakkur,1950.0,3.0,2.0,131.0,3 BHK,6717.948717948718
Ready To Move,Hoysalanagar,885.0,2.0,3.0,40.0,2 BHK,4519.774011299435
Ready To Move,Yelahanka,600.0,2.0,2.0,27.0,2 BHK,4500.0
Ready To Move,Kumaraswami Layout,1270.0,4.0,1.0,128.0,5 BHK,10078.740157480315
Ready To Move,Vijayanagar,1380.0,2.0,0.0,225.0,2 BHK,16304.347826086956
Ready To Move,Kanakpura Road,1339.0,2.0,2.0,62.0,2 BHK,4630.321135175504
Ready To Move,Whitefield,1130.0,2.0,1.0,36.0,2 BHK,3185.8407079646017
Ready To Move,Uttarahalli,1085.0,2.0,2.0,43.0,2 BHK,3963.1336405529955
Ready To Move,Yeshwanthpur,1430.0,3.0,2.0,72.0,3 BHK,5034.965034965035
Not Ready To Move,Bhoganhalli,1451.5,4.0,1.0,121.0,4 BHK,8336.203926972097
Ready To Move,Ramakrishnappa Layout,6200.0,5.0,2.0,720.0,5 BHK,11612.90322580645
Ready To Move,AGS Layout,1490.0,2.0,1.0,59.6,3 BHK,4000.0
Ready To Move,Vishwanatha Nagenahalli,1650.0,4.0,0.0,99.0,4 BHK,6000.0
Ready To Move,Bellandur,1286.0,2.0,2.0,57.0,2 BHK,4432.348367029549
Ready To Move,KR Garden,925.0,2.0,2.0,63.0,2 BHK,6810.810810810811
Ready To Move,Bellandur,3016.0,4.0,3.0,230.0,4 BHK,7625.994694960213
Ready To Move,Haralur Road,1000.0,2.0,2.0,44.0,2 BHK,4400.0
Ready To Move,Whitefield,1215.0,2.0,2.0,39.0,2 BHK,3209.8765432098767
Ready To Move,Kanakadasa Layout,1200.0,3.0,1.0,95.0,4 BHK,7916.666666666667
Ready To Move,Lakshminarayana Pura,1336.0,2.0,2.0,100.0,2 BHK,7485.029940119761
Ready To Move,Yeshwanthpur,673.0,1.0,1.0,36.85,1 BHK,5475.482912332838
Ready To Move,Anandapura,1200.0,2.0,1.0,58.0,2 BHK,4833.333333333333
Ready To Move,Malleshwaram,1600.0,3.0,3.0,160.0,3 BHK,10000.0
Ready To Move,Mallathahalli,1200.0,2.0,0.0,79.0,2 BHK,6583.333333333333
Not Ready To Move,Jayamahal Extension,2500.0,3.0,2.0,270.0,3 BHK,10800.0
Ready To Move,Devanahalli,2400.0,5.0,3.0,100.0,5 BHK,4166.666666666667
Ready To Move,Sector 2 HSR Layout,1143.0,2.0,2.0,65.0,2 BHK,5686.789151356081
Ready To Move,Kanakpura Road,1470.0,2.0,2.0,61.74,2 BHK,4200.0
Ready To Move,Laxminarayana Layout,1584.0,3.0,2.0,145.0,4 BHK,9154.040404040405
Ready To Move,Marathahalli,1785.0,3.0,2.0,94.0,3 BHK,5266.106442577031
Ready To Move,Koramangala,2292.0,3.0,2.0,286.0,3 BHK,12478.184991273996
Ready To Move,Kothanur,1460.0,3.0,3.0,71.0,3 BHK,4863.013698630137
Ready To Move,Kasturi Nagar,1500.0,2.0,3.0,80.0,3 BHK,5333.333333333333
Ready To Move,Yelahanka,1200.0,4.0,1.0,140.0,5 BHK,11666.666666666666
Ready To Move,Sanjay nagar,3300.0,3.0,2.0,250.0,5 BHK,7575.757575757576
Ready To Move,Chikkalasandra,1230.0,2.0,2.0,48.0,2 BHK,3902.439024390244
Ready To Move,Yelahanka New Town,650.0,1.0,1.0,20.0,1 BHK,3076.923076923077
Ready To Move,Benson Town,1480.0,2.0,1.0,120.0,2 BHK,8108.108108108108
Ready To Move,Thanisandra,1220.0,2.0,1.0,43.92,2 BHK,3600.0
Ready To Move,Dooravani Nagar,1570.0,3.0,1.0,115.0,3 BHK,7324.84076433121
Ready To Move,Sadashiva Nagar,3000.0,3.0,3.0,400.0,3 BHK,13333.333333333334
Ready To Move,Mallasandra,1665.0,3.0,2.0,86.91,3 BHK,5219.81981981982
Ready To Move,Banagiri Nagar,1350.0,3.0,1.0,380.0,3 BHK,28148.14814814815
Ready To Move,Sarjapur  Road,4000.0,5.0,2.0,600.0,4 BHK,15000.0
Ready To Move,Ramamurthy Nagar,1100.0,2.0,0.0,68.0,2 BHK,6181.818181818182
Ready To Move,Kathriguppe,1350.0,2.0,1.0,87.01,3 BHK,6445.185185185185
Ready To Move,Kasavanhalli,1719.0,3.0,2.0,116.0,3 BHK,6748.109365910413
Ready To Move,Budigere,664.0,1.0,1.0,35.0,1 BHK,5271.084337349397
Not Ready To Move,Sonnenahalli,1011.0,2.0,1.0,50.53,2 BHK,4998.021760633037
Ready To Move,Basaveshwara Nagar Yelahanka,1680.0,3.0,2.0,85.0,3 BHK,5059.523809523809
Ready To Move,Thyagaraja Nagar,700.0,4.0,2.0,110.0,4 BHK,15714.285714285714
Ready To Move,Whitefield,1520.0,2.0,2.0,150.0,3 BHK,9868.421052631578
Ready To Move,Uttarahalli,1350.0,2.0,2.0,53.0,3 BHK,3925.925925925926
Not Ready To Move,Kothanur,1760.0,3.0,2.0,150.0,3 BHK,8522.727272727272
Ready To Move,Pattandur Agrahara,875.0,2.0,1.0,33.0,2 BHK,3771.4285714285716
Ready To Move,Hennur,1231.0,2.0,2.0,48.0,2 BHK,3899.268887083672
Ready To Move,Somasundara Palya,1174.0,2.0,3.0,74.0,2 BHK,6303.236797274276
Ready To Move,Munnekollal,1560.0,3.0,3.0,75.0,3 BHK,4807.692307692308
Ready To Move,HOSUR MAIN ROAD,1464.0,2.0,2.0,56.0,2 BHK,3825.136612021858
Ready To Move,Kanakpura Road,2200.0,3.0,2.0,130.0,3 BHK,5909.090909090909
Ready To Move,Shivaji Nagar,850.0,2.0,2.0,55.0,2 BHK,6470.588235294118
Ready To Move,Sahyadri Layout,1750.0,3.0,1.0,180.0,3 BHK,10285.714285714286
Ready To Move,1st Phase JP Nagar,2024.0,3.0,2.0,157.0,3 BHK,7756.916996047431
Ready To Move,Mathikere SBM colony,1500.0,1.0,0.0,160.0,2 BHK,10666.666666666666
Ready To Move,Kodihalli,2408.0,4.0,2.0,260.0,3 BHK,10797.34219269103
Ready To Move,Devanahalli,1080.0,2.0,1.0,44.0,2 BHK,4074.074074074074
Ready To Move,Indira Nagar,2070.0,3.0,2.0,225.0,3 BHK,10869.565217391304
Not Ready To Move,Electronic City,1020.0,2.0,1.0,29.46,2 BHK,2888.235294117647
Ready To Move,Begur Road,1500.0,2.0,3.0,55.0,3 BHK,3666.6666666666665
Ready To Move,Mahalakshmi Layout,1575.0,5.0,1.0,158.0,4 BHK,10031.746031746032
Ready To Move,Kodichikkanahalli,3250.0,4.0,1.0,180.0,4 BHK,5538.461538461538
Ready To Move,Uttarahalli,1175.0,2.0,1.0,47.0,2 BHK,4000.0
Ready To Move,Channasandra,1030.0,2.0,1.0,34.5,2 BHK,3349.5145631067962
Not Ready To Move,Hebbal,1440.0,2.0,1.0,115.0,2 BHK,7986.111111111111
Ready To Move,Hoodi,1500.0,2.0,1.0,84.0,2 BHK,5600.0
Ready To Move,Thanisandra,1380.0,1.0,1.0,62.1,1 BHK,4500.0
Ready To Move,Bagalur,1200.0,2.0,3.0,50.0,2 BHK,4166.666666666667
Ready To Move,Vinayak Nagar,705.0,1.0,2.0,36.5,1 BHK,5177.304964539007
Ready To Move,Harlur,2240.0,5.0,2.0,155.0,3 BHK,6919.642857142857
Ready To Move,Hegde Nagar,1584.01,3.0,1.0,103.0,3 BHK,6502.484201488627
Ready To Move,P Krishnappa Layout,1340.0,3.0,3.0,77.0,3 BHK,5746.268656716418
Ready To Move,Green Garden Layout,1800.0,3.0,2.0,70.0,3 BHK,3888.8888888888887
Ready To Move,R.T. Nagar,1200.0,2.0,3.0,45.0,2 BHK,3750.0
Not Ready To Move,Sarjapur  Road,685.0,1.0,1.0,40.0,1 BHK,5839.41605839416
Ready To Move,Kalkere,925.0,2.0,3.0,42.0,2 BHK,4540.540540540541
Ready To Move,Crimson Layout,1230.0,2.0,2.0,57.0,2 BHK,4634.1463414634145
Ready To Move,Manjunath Nagar,1200.0,5.0,1.0,185.0,5 BHK,15416.666666666666
Ready To Move,Kodichikkanahalli,1125.0,2.0,1.0,52.0,2 BHK,4622.222222222223
Ready To Move,Hebbal,1100.0,2.0,1.0,54.0,2 BHK,4909.090909090909
Not Ready To Move,Jigani,2400.0,3.0,2.0,149.0,3 BHK,6208.333333333333
Not Ready To Move,Electronic City Phase II,1400.0,2.0,2.0,41.58,3 BHK,2970.0
Ready To Move,Jakkur,1858.0,3.0,1.0,98.3,3 BHK,5290.635091496232
Ready To Move,Adityanagar,1260.0,1.0,1.0,41.0,1 BHK,3253.968253968254
Ready To Move,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4 BHK,8215.297450424929
Ready To Move,HSR Layout,1185.0,2.0,2.0,60.0,2 BHK,5063.291139240507
Ready To Move,RMV 2nd Stage,1200.0,2.0,1.0,216.0,2 BHK,18000.0
Ready To Move,Hennur,1255.0,2.0,1.0,58.0,2 BHK,4621.5139442231075
Ready To Move,Rajaji Nagar,3436.0,6.0,3.0,475.0,4 BHK,13824.214202561117
Ready To Move,Kudlu Gate,1335.0,3.0,2.0,89.0,3 BHK,6666.666666666667
Ready To Move,Dodda Nekkundi,1999.0,3.0,2.0,132.0,3 BHK,6603.301650825412
Ready To Move,Kanaka Nagar,1200.0,2.0,1.0,125.0,2 BHK,10416.666666666666
Ready To Move,Kundalahalli,1397.0,3.0,2.0,110.0,3 BHK,7874.0157480314965
Ready To Move,Cooke Town,3950.0,4.0,2.0,450.0,4 BHK,11392.405063291139
Ready To Move,Yelahanka New Town,1200.0,2.0,1.0,130.0,2 BHK,10833.333333333334
Ready To Move,Chikka Tirupathi,1616.0,3.0,0.0,95.0,3 BHK,5878.712871287129
Ready To Move,Hanumantha Nagar,1270.0,2.0,1.0,175.0,4 BHK,13779.527559055117
Ready To Move,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.55,2 BHK,3381.578947368421
Not Ready To Move,Kanakpura Road,525.0,1.0,1.0,30.0,1 BHK,5714.285714285715
Ready To Move,Varthur,1200.0,2.0,1.0,98.0,3 BHK,8166.666666666667
Ready To Move,Bagalakunte,700.0,1.0,1.0,162.0,1 BHK,23142.85714285714
Not Ready To Move,Balagere,1205.47,2.0,1.0,81.0,2 BHK,6719.370867794304
Ready To Move,T Dasarahalli,1200.0,3.0,2.0,130.0,3 BHK,10833.333333333334
Ready To Move,Electronic City,1700.0,3.0,2.0,75.0,3 BHK,4411.764705882353
Ready To Move,Thanisandra,750.0,4.0,0.0,62.0,5 BHK,8266.666666666666
Not Ready To Move,Kanakpura Road,1090.0,2.0,1.0,54.54,2 BHK,5003.6697247706425
Ready To Move,Yeshwanthpur,3600.0,5.0,2.0,220.0,4 BHK,6111.111111111111
Ready To Move,Kundalahalli,2400.0,1.0,0.0,650.0,1 BHK,27083.333333333332
Not Ready To Move,Thanisandra,923.0,1.0,1.0,60.84,1 BHK,6591.549295774648
Not Ready To Move,Muthurayya Swamy Layout,3595.0,6.0,2.0,360.0,4 BHK,10013.908205841446
Ready To Move,Green Glen Layout,1050.0,2.0,2.0,48.0,2 BHK,4571.428571428572
Ready To Move,Whitefield,1495.0,2.0,2.0,79.5,2 BHK,5317.725752508361
Ready To Move,Narayanapura,1485.0,3.0,2.0,85.0,3 BHK,5723.905723905724
Not Ready To Move,Dommasandra,1033.0,2.0,2.0,31.5,3 BHK,3049.3707647628266
Ready To Move,Electronic City,1400.0,2.0,1.0,48.0,3 BHK,3428.5714285714284
Ready To Move,Indira Nagar,500.0,1.0,0.0,70.0,1 BHK,14000.0
Ready To Move,Sarjapur  Road,944.0,2.0,1.0,35.0,2 BHK,3707.6271186440677
Ready To Move,Whitefield,3250.0,5.0,0.0,290.0,5 BHK,8923.076923076924
Not Ready To Move,Whitefield,1216.0,2.0,1.0,66.48,2 BHK,5467.105263157895
Ready To Move,Thirumenahalli,1100.0,2.0,1.0,39.5,2 BHK,3590.909090909091
Ready To Move,Thanisandra,1743.0,3.0,2.0,93.25,3 BHK,5349.971313826735
Ready To Move,Yelahanka,1274.0,2.0,2.0,48.42,2 BHK,3800.6279434850862
Ready To Move,Lavelle Road,2500.0,3.0,2.0,425.0,3 BHK,17000.0
Ready To Move,Mysore Road,1512.0,2.0,2.0,110.0,3 BHK,7275.132275132275
Ready To Move,Dollars Colony,3100.0,5.0,1.0,385.0,4 BHK,12419.354838709678
Ready To Move,Cox Town,1650.0,3.0,3.0,100.0,3 BHK,6060.606060606061
Ready To Move,Doddathoguru,1875.0,3.0,1.0,55.0,3 BHK,2933.3333333333335
Ready To Move,Whitefield,1350.0,3.0,2.0,54.0,3 BHK,4000.0
Ready To Move,Rajiv Gandhi Nagar,1219.0,2.0,2.0,40.0,2 BHK,3281.3781788351107
Ready To Move,Goraguntepalya,1200.0,4.0,1.0,150.0,4 BHK,12500.0
Ready To Move,Sarjapura - Attibele Road,2400.0,3.0,3.0,85.0,3 BHK,3541.6666666666665
Ready To Move,Hormavu,1141.0,2.0,1.0,44.4,2 BHK,3891.3234005258546
Ready To Move,Anandapura,1151.0,2.0,1.0,43.1,2 BHK,3744.5699391833186
Ready To Move,Bommenahalli,832.0,3.0,1.0,77.0,3 BHK,9254.807692307691
Ready To Move,Sarjapur  Road,915.0,2.0,1.0,38.0,2 BHK,4153.005464480874
Ready To Move,Rajankunte,3259.0,3.0,0.0,270.0,3 BHK,8284.749923289353
Not Ready To Move,Bannerghatta Road,1115.0,2.0,1.0,65.12,2 BHK,5840.358744394619
Ready To Move,Thigalarapalya,2072.0,4.0,2.0,139.0,3 BHK,6708.494208494209
Ready To Move,Kaggadasapura,1200.0,2.0,2.0,53.0,2 BHK,4416.666666666667
Ready To Move,Singasandra,1300.0,2.0,2.0,65.0,2 BHK,5000.0
Ready To Move,Bellandur,1457.0,2.0,2.0,85.0,2 BHK,5833.905284831846
Ready To Move,Kannamangala,1262.0,2.0,2.0,55.0,2 BHK,4358.161648177496
Ready To Move,BEML Layout,1196.0,3.0,1.0,150.0,4 BHK,12541.80602006689
Not Ready To Move,Ananth Nagar,900.0,2.0,2.0,22.5,2 BHK,2500.0
Ready To Move,Attibele,420.0,1.0,1.0,17.0,1 BHK,4047.6190476190477
Ready To Move,Kanakapura,1160.0,2.0,1.0,46.39,2 BHK,3999.137931034483
Ready To Move,Kasavanhalli,1115.0,2.0,2.0,50.0,2 BHK,4484.304932735426
Ready To Move,JP Nagar,1315.0,2.0,1.0,85.4,3 BHK,6494.296577946768
Ready To Move,Babusapalaya,1500.0,2.0,2.0,57.0,2 BHK,3800.0
Ready To Move,HSR Layout,1127.0,2.0,1.0,68.0,2 BHK,6033.717834960071
Not Ready To Move,Kundalahalli,1397.0,3.0,2.0,104.0,3 BHK,7444.523979957051
Not Ready To Move,Whitefield,1173.0,2.0,1.0,60.0,2 BHK,5115.089514066496
Ready To Move,Sompura,1090.0,2.0,2.0,28.0,2 BHK,2568.8073394495414
Ready To Move,Sarjapur  Road,2720.0,5.0,2.0,210.0,3 BHK,7720.588235294118
Not Ready To Move,Jakkur,1230.0,2.0,1.0,76.0,2 BHK,6178.861788617886
Ready To Move,6th Block Rajaji Nagar,3200.0,3.0,3.0,190.0,4 BHK,5937.5
Not Ready To Move,Sarjapur  Road,858.0,2.0,1.0,31.57,2 BHK,3679.4871794871797
Not Ready To Move,Talaghattapura,1868.0,3.0,1.0,121.0,3 BHK,6477.516059957174
Ready To Move,Uttarahalli,1689.28,3.0,2.0,91.2,3 BHK,5398.74976321273
Ready To Move,Vishwapriya Layout,600.0,3.0,2.0,73.0,4 BHK,12166.666666666666
Ready To Move,Banashankari,1425.0,3.0,3.0,49.88,3 BHK,3500.3508771929824
Ready To Move,Tindlu,1350.0,2.0,1.0,100.0,2 BHK,7407.407407407408
Ready To Move,Uttarahalli,1310.0,2.0,1.0,85.0,3 BHK,6488.5496183206105
Ready To Move,MLA Layout,970.0,2.0,1.0,40.0,2 BHK,4123.711340206186
Not Ready To Move,Kundalahalli,1397.0,3.0,3.0,108.0,3 BHK,7730.851825340014
Not Ready To Move,Sarjapur,1157.0,2.0,1.0,40.0,2 BHK,3457.216940363008
Ready To Move,Kasavanhalli,1125.0,2.0,1.0,61.2,2 BHK,5440.0
Ready To Move,Sonnenahalli,1157.0,2.0,1.0,42.0,2 BHK,3630.077787381158
Ready To Move,Sarjapur  Road,1241.0,2.0,1.0,82.0,2 BHK,6607.57453666398
Not Ready To Move,Binny Pete,660.0,1.0,1.0,62.0,1 BHK,9393.939393939394
Ready To Move,Marathahalli,4000.0,4.0,3.0,220.0,4 BHK,5500.0
Ready To Move,Rajiv Nagar,2340.0,4.0,1.0,148.0,4 BHK,6324.786324786325
Ready To Move,Venkatadri Layout,596.0,1.0,1.0,42.0,1 BHK,7046.979865771812
Ready To Move,Kyalasanahalli,1200.0,4.0,3.0,110.0,4 BHK,9166.666666666666
Ready To Move,Ambedkar Colony,1910.0,3.0,1.0,190.0,3 BHK,9947.643979057591
Ready To Move,Brookefield,1139.0,2.0,2.0,80.0,2 BHK,7023.705004389815
Ready To Move,Thigalarapalya,3122.0,5.0,2.0,225.0,4 BHK,7206.91864189622
Not Ready To Move,Sarjapura - Attibele Road,1033.0,2.0,2.0,28.41,2 BHK,2750.242013552759
Ready To Move,Yeshwanthpur,1168.0,2.0,2.0,64.08,2 BHK,5486.301369863014
Ready To Move,Chandapura,877.0,2.0,3.0,42.0,2 BHK,4789.053591790193
Not Ready To Move,Electronics City Phase 1,1340.0,2.0,2.0,75.0,2 BHK,5597.014925373134
Ready To Move,B Narayanapura,1405.0,2.0,2.0,70.0,3 BHK,4982.20640569395
Ready To Move,Siddapura,1800.0,3.0,3.0,65.0,3 BHK,3611.1111111111113
Ready To Move, Devarabeesana Halli,1750.0,3.0,3.0,149.0,3 BHK,8514.285714285714
Ready To Move,Motappa Layout,1360.0,2.0,1.0,65.0,3 BHK,4779.411764705882
Ready To Move,Malleshwaram,675.0,2.0,0.0,148.0,3 BHK,21925.925925925927
Not Ready To Move,Byrasandra,985.0,2.0,1.0,63.0,2 BHK,6395.9390862944165
Not Ready To Move,Victoria Layout,1300.0,2.0,1.0,129.0,2 BHK,9923.076923076924
Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3 BHK,8108.108108108108
Ready To Move,Rustam Bagh Layout,1490.0,2.0,3.0,88.0,3 BHK,5906.040268456376
Ready To Move,Byagadadhenahalli,620.0,1.0,1.0,25.0,2 BHK,4032.2580645161293
Not Ready To Move,Hormavu,1130.0,2.0,1.0,42.3,2 BHK,3743.362831858407
Ready To Move,Yelachenahalli,1080.0,2.0,2.0,55.0,2 BHK,5092.592592592592
Ready To Move,Singasandra,3126.0,4.0,2.0,120.0,4 BHK,3838.7715930902114
Ready To Move,Begur Road,1410.0,2.0,3.0,52.17,3 BHK,3700.0
Ready To Move,Bommanahalli,1375.0,3.0,2.0,59.0,3 BHK,4290.909090909091
Ready To Move,Hennur Road,1290.0,2.0,1.0,94.5,3 BHK,7325.581395348837
Not Ready To Move,Hosa Road,1318.0,2.0,1.0,85.28,3 BHK,6470.40971168437
Ready To Move,Electronic City,1128.0,2.0,1.0,68.0,2 BHK,6028.368794326241
Ready To Move,Meenakunte,4428.0,4.0,2.0,255.0,4 BHK,5758.807588075881
Not Ready To Move,Kanakpura Road,1051.0,2.0,2.0,56.74,2 BHK,5398.667935299714
Ready To Move,Kengeri,3500.0,5.0,0.0,275.0,3 BHK,7857.142857142857
Ready To Move,Kannamangala,2400.0,4.0,1.0,130.0,4 BHK,5416.666666666667
Ready To Move,Yelahanka,1327.0,2.0,3.0,85.0,2 BHK,6405.42577241899
Ready To Move,Thigalarapalya,2912.0,6.0,2.0,210.0,4 BHK,7211.538461538462
Ready To Move,Basapura,1301.0,2.0,2.0,55.0,2 BHK,4227.517294388932
Ready To Move,Thippasandra,650.0,1.0,0.0,30.0,1 BHK,4615.384615384615
Not Ready To Move,Varthur,1200.0,3.0,1.0,67.75,3 BHK,5645.833333333333
Ready To Move,Banagiri Nagar,1500.0,2.0,2.0,89.99,3 BHK,5999.333333333333
Ready To Move,Kumara Park,2700.0,6.0,2.0,675.0,4 BHK,25000.0
Ready To Move,Nagadevanahalli,1350.0,4.0,2.0,145.0,4 BHK,10740.74074074074
Not Ready To Move,Electronic City Phase II,1000.0,2.0,1.0,28.88,2 BHK,2888.0
Not Ready To Move,Sarjapur  Road,984.0,2.0,1.0,45.91,2 BHK,4665.650406504065
Not Ready To Move,Jakkur,1819.18,3.0,1.0,160.0,3 BHK,8795.17145087347
Ready To Move,Nagarbhavi,900.0,1.0,0.0,175.0,1 BHK,19444.444444444445
Not Ready To Move,Hebbal,1355.0,3.0,1.0,83.87,3 BHK,6189.667896678967
Ready To Move,Sarakki Nagar,2145.0,4.0,1.0,270.0,3 BHK,12587.412587412588
Ready To Move,Malleshwaram,2475.0,4.0,3.0,300.0,3 BHK,12121.212121212122
Not Ready To Move,Kaggadasapura,1118.0,2.0,0.0,30.0,2 BHK,2683.3631484794278
Ready To Move,Roopena Agrahara,910.0,1.0,1.0,42.0,1 BHK,4615.384615384615
Not Ready To Move,Madiwala,1250.0,3.0,2.0,39.0,3 BHK,3120.0
Not Ready To Move,Hosakerehalli,1304.0,2.0,3.0,100.0,2 BHK,7668.711656441717
Ready To Move,Begur Road,1615.0,3.0,2.0,58.0,3 BHK,3591.331269349845
Ready To Move,Sarjapur  Road,1400.0,2.0,2.0,68.0,2 BHK,4857.142857142857
Ready To Move,CV Raman Nagar,1070.0,2.0,2.0,47.5,2 BHK,4439.252336448598
Not Ready To Move,Hebbal,3500.0,3.0,3.0,395.0,3 BHK,11285.714285714286
Not Ready To Move,Hoodi,1132.0,2.0,1.0,89.37,2 BHK,7894.876325088339
Ready To Move,Rajarajeshwari Nagara,2000.0,3.0,2.0,85.0,3 BHK,4250.0
Ready To Move,Sector 2 HSR Layout,794.0,1.0,2.0,65.0,1 BHK,8186.39798488665
Ready To Move,Raja Rajeshwari Nagar,1090.0,2.0,2.0,43.59,2 BHK,3999.0825688073396
Ready To Move,Gottigere,1500.0,3.0,2.0,70.0,3 BHK,4666.666666666667
Ready To Move,1st Phase JP Nagar,2059.0,3.0,2.0,225.0,3 BHK,10927.634774162214
Not Ready To Move,Kanakpura Road,525.0,1.0,1.0,30.0,1 BHK,5714.285714285715
Not Ready To Move,Bhoganhalli,1447.0,2.0,1.0,75.97,2 BHK,5250.172771250864
Not Ready To Move,Whitefield,1269.0,2.0,1.0,75.0,2 BHK,5910.16548463357
Not Ready To Move,KR Layout,4800.0,4.0,0.0,700.0,4 BHK,14583.333333333334
Ready To Move,Kanakpura Road,1070.0,2.0,2.0,37.45,2 BHK,3500.0000000000005
Ready To Move,Talaghattapura,1150.0,2.0,0.0,28.0,2 BHK,2434.782608695652
Ready To Move,Marathahalli,1208.0,2.0,2.0,70.0,2 BHK,5794.701986754967
Ready To Move,Ramamurthy Nagar,1185.0,2.0,1.0,45.5,2 BHK,3839.662447257384
Ready To Move,Laggere,1200.0,3.0,1.0,130.0,3 BHK,10833.333333333334
Ready To Move,Anekal,888.0,2.0,1.0,34.0,2 BHK,3828.828828828829
Not Ready To Move,Chandapura,1015.0,2.0,2.0,25.88,2 BHK,2549.753694581281
Ready To Move,Celebrity Paradise Layout,532.0,1.0,1.0,22.49,1 BHK,4227.443609022556
Ready To Move,St Thomas Town,1060.0,3.0,1.0,62.0,3 BHK,5849.056603773585
Ready To Move,Electronic City,700.0,1.0,1.0,35.0,1 BHK,5000.0
Ready To Move,Ckikkakammana Halli,902.0,2.0,2.0,42.0,2 BHK,4656.319290465632
Ready To Move,Uttarahalli,1175.0,2.0,1.0,47.0,2 BHK,4000.0
Not Ready To Move,Binny Pete,1365.0,2.0,1.0,122.0,2 BHK,8937.728937728938
Ready To Move,Doddathoguru,984.0,2.0,1.0,51.0,2 BHK,5182.926829268293
Ready To Move,Hebbal,2700.0,2.0,2.0,100.0,4 BHK,3703.703703703704
Ready To Move,Jalahalli East,1475.0,3.0,2.0,96.0,3 BHK,6508.474576271186
Ready To Move,Haralur Road,1300.0,2.0,2.0,79.0,2 BHK,6076.923076923077
Ready To Move,5th Block Hbr Layout,1200.0,6.0,1.0,220.0,5 BHK,18333.333333333332
